"BehaviorSpace results (NetLogo 6.0.2)"
"FoxModel_carnarvon.nlogo"
"Carnarvon_bait"
"03/06/2018 13:41:37:760 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","1062","0","1281"
"[run number]","bait-layout","from1yto2y-survival","prey-age-independence","range-calculation","male-dispersers","prey-carrying-capacity","prey-breeding-ends","dispersal-season-ends","price-1-bait","age-at-independence","world-size","prey-3+y-survival","commence-fox-predation","region-size","dispersal-season-begins","minimum-patch-size","prey-propn-female","less1y-survival","prey-av-dispersal-distance","check-neighbours","weeks-per-tick","min-habitat-suitability","uninhabitable-raster-value","prey-less1y-survival","prey-number-of-young","commence-baiting-year","more3y-survival","second-habitat-raster-value","food-use2:use1","landscape-source","monitor","bait-density","include-fox-mortality","prey-age-maturity","prey-2yto3y-survival","prey-sd-dispersal-distance","prey-habitat-map","home-range-area","survey-transect","bait-layout-shapefile-source","propn-cubs-female","Pr-die-if-exposed-100ha","fox-diet-prey","initial-fox-density","female-dispersers","min-travel-distance","commence-baiting-week","kernel-percent","prey-female-breed-timestep","cell-dimension","prey-body-mass","prey-1yto2y-survival","number-of-cubs","breeding-season","region-of-interest-source","bait-frequency","prey-max-dispersal-distance","prey-breeding-begins","from2yto3y-survival","landscape-raster-source","custom-bait-weeks","[step]","year","week-of-year","total-fox-density","all-fox-but-cub-density","alpha-fox-density","disperser-fox-density","subordinate-fox-density","cub-fox-density","fox-family-density","count foxes with [collared = true]","count-baits-laid"
"1","""none""","0.65","0","""1 kernel, 1 mean""","0.999","0","0","21","0","12","0","0","0","116","9","0","0","0.39","0","false","4","0","0","0","0","0","0.18","0","100","""import raster""","""density""","0","true","0","0","0","""0""","""[5.3]""",""" ""","""0""","0.5","0.7","0","1","0.999","0","0","""[95]""","0","100","0","0","3.2","33","""Carnarvon/Baited_core.shp""","""4-weeks""","0","0","0.92","""Carnarvon/carn_landscape.asc""","""0""","20","2","25","0.5905556434863919","0.5937018444463352","0.30441400304414","0.2892878414021952","0","0","0","0","0"
"1","""none""","0.65","0","""1 kernel, 1 mean""","0.999","0","0","21","0","12","0","0","0","116","9","0","0","0.39","0","false","4","0","0","0","0","0","0.18","0","100","""import raster""","""density""","0","true","0","0","0","""0""","""[5.3]""",""" ""","""0""","0.5","0.7","0","1","0.999","0","0","""[95]""","0","100","0","0","3.2","33","""Carnarvon/Baited_core.shp""","""4-weeks""","0","0","0.92","""Carnarvon/carn_landscape.asc""","""0""","21","2","29","0.5549224186148474","0.5577772105467163","0.3091409285572478","0.2486362819894684","0","0","0","0","0"
"1","""none""","0.65","0","""1 kernel, 1 mean""","0.999","0","0","21","0","12","0","0","0","116","9","0","0","0.39","0","false","4","0","0","0","0","0","0.18","0","100","""import raster""","""density""","0","true","0","0","0","""0""","""[5.3]""",""" ""","""0""","0.5","0.7","0","1","0.999","0","0","""[95]""","0","100","0","0","3.2","33","""Carnarvon/Baited_core.shp""","""4-weeks""","0","0","0.92","""Carnarvon/carn_landscape.asc""","""0""","22","2","33","0.9835562968185205","0.5256341170575834","0.3053593881467616","0.22027472891082184","0","0.47080178110553333","0","0","0"
"1","""none""","0.65","0","""1 kernel, 1 mean""","0.999","0","0","21","0","12","0","0","0","116","9","0","0","0.39","0","false","4","0","0","0","0","0","0.18","0","100","""import raster""","""density""","0","true","0","0","0","""0""","""[5.3]""",""" ""","""0""","0.5","0.7","0","1","0.999","0","0","""[95]""","0","100","0","0","3.2","33","""Carnarvon/Baited_core.shp""","""4-weeks""","0","0","0.92","""Carnarvon/carn_landscape.asc""","""0""","23","2","37","0.9151022830437217","0.4934910235684506","0.3053593881467616","0.18813163542168904","0","0.4273140663849419","0","0","0"
"1","""none""","0.65","0","""1 kernel, 1 mean""","0.999","0","0","21","0","12","0","0","0","116","9","0","0","0.39","0","false","4","0","0","0","0","0","0.18","0","100","""import raster""","""density""","0","true","0","0","0","""0""","""[5.3]""",""" ""","""0""","0.5","0.7","0","1","0.999","0","0","""[95]""","0","100","0","0","3.2","33","""Carnarvon/Baited_core.shp""","""4-weeks""","0","0","0.92","""Carnarvon/carn_landscape.asc""","""0""","24","2","41","0.8598938261368427","0.46607485559242556","0.30441400304414","0.16166085254828555","0","0.3998978984089169","0","0","0"
"1","""none""","0.65","0","""1 kernel, 1 mean""","0.999","0","0","21","0","12","0","0","0","116","9","0","0","0.39","0","false","4","0","0","0","0","0","0.18","0","100","""import raster""","""density""","0","true","0","0","0","""0""","""[5.3]""",""" ""","""0""","0.5","0.7","0","1","0.999","0","0","""[95]""","0","100","0","0","3.2","33","""Carnarvon/Baited_core.shp""","""4-weeks""","0","0","0.92","""Carnarvon/carn_landscape.asc""","""0""","25","2","45","0.7993451293671933","0.8045227223309416","0.2987416924284107","0.1361354547775036","0.36964557512502716","0","0","0","0"
"1","""none""","0.65","0","""1 kernel, 1 mean""","0.999","0","0","21","0","12","0","0","0","116","9","0","0","0.39","0","false","4","0","0","0","0","0","0.18","0","100","""import raster""","""density""","0","true","0","0","0","""0""","""[5.3]""",""" ""","""0""","0.5","0.7","0","1","0.999","0","0","""[95]""","0","100","0","0","3.2","33","""Carnarvon/Baited_core.shp""","""4-weeks""","0","0","0.92","""Carnarvon/carn_landscape.asc""","""0""","26","2","49","0.751059331115009","0.7581988523024854","0.29779630732578916","0.11155544210934325","0.34884710286735304","0","0","0","0"
"1","""none""","0.65","0","""1 kernel, 1 mean""","0.999","0","0","21","0","12","0","0","0","116","9","0","0","0.39","0","false","4","0","0","0","0","0","0.18","0","100","""import raster""","""density""","0","true","0","0","0","""0""","""[5.3]""",""" ""","""0""","0.5","0.7","0","1","0.999","0","0","""[95]""","0","100","0","0","3.2","33","""Carnarvon/Baited_core.shp""","""4-weeks""","0","0","0.92","""Carnarvon/carn_landscape.asc""","""0""","27","3","1","0.6972147362289528","0.7043119014530569","0.2911786116074383","0.08697542944118286","0.32615786040443573","0","0","0","0"
"1","""none""","0.65","0","""1 kernel, 1 mean""","0.999","0","0","21","0","12","0","0","0","116","9","0","0","0.39","0","false","4","0","0","0","0","0","0.18","0","100","""import raster""","""density""","0","true","0","0","0","""0""","""[5.3]""",""" ""","""0""","0.5","0.7","0","1","0.999","0","0","""[95]""","0","100","0","0","3.2","33","""Carnarvon/Baited_core.shp""","""4-weeks""","0","0","0.92","""Carnarvon/carn_landscape.asc""","""0""","28","3","5","0.6465095653485707","0.6532611059114931","0.2996870775310323","0.07279465290185957","0.2807793754786012","0","0","0","0"
"1","""none""","0.65","0","""1 kernel, 1 mean""","0.999","0","0","21","0","12","0","0","0","116","9","0","0","0.39","0","false","4","0","0","0","0","0","0.18","0","100","""import raster""","""density""","0","true","0","0","0","""0""","""[5.3]""",""" ""","""0""","0.5","0.7","0","1","0.999","0","0","""[95]""","0","100","0","0","3.2","33","""Carnarvon/Baited_core.shp""","""4-weeks""","0","0","0.92","""Carnarvon/carn_landscape.asc""","""0""","29","3","9","0.6246166149973884","0.6267903230380896","0.30063246263365384","0.29023322650481675","0.03592463389961901","0","0","0","0"
"1","""none""","0.65","0","""1 kernel, 1 mean""","0.999","0","0","21","0","12","0","0","0","116","9","0","0","0.39","0","false","4","0","0","0","0","0","0.18","0","100","""import raster""","""density""","0","true","0","0","0","""0""","""[5.3]""",""" ""","""0""","0.5","0.7","0","1","0.999","0","0","""[95]""","0","100","0","0","3.2","33","""Carnarvon/Baited_core.shp""","""4-weeks""","0","0","0.92","""Carnarvon/carn_landscape.asc""","""0""","30","3","13","0.5670091163246742","0.5691218317781749","0.29590553712054607","0.2675439840418995","0.005672310615729317","0","0","0","0"
"1","""none""","0.65","0","""1 kernel, 1 mean""","0.999","0","0","21","0","12","0","0","0","116","9","0","0","0.39","0","false","4","0","0","0","0","0","0.18","0","100","""import raster""","""density""","0","true","0","0","0","""0""","""[5.3]""",""" ""","""0""","0.5","0.7","0","1","0.999","0","0","""[95]""","0","100","0","0","3.2","33","""Carnarvon/Baited_core.shp""","""4-weeks""","0","0","0.92","""Carnarvon/carn_landscape.asc""","""0""","31","3","17","0.5245887718812484","0.5256341170575834","0.2996870775310323","0.22405626932130804","0.0018907702052431059","0","0","0","0"
"1","""none""","0.65","0","""1 kernel, 1 mean""","0.999","0","0","21","0","12","0","0","0","116","9","0","0","0.39","0","false","4","0","0","0","0","0","0.18","0","100","""import raster""","""density""","0","true","0","0","0","""0""","""[5.3]""",""" ""","""0""","0.5","0.7","0","1","0.999","0","0","""[95]""","0","100","0","0","3.2","33","""Carnarvon/Baited_core.shp""","""4-weeks""","0","0","0.92","""Carnarvon/carn_landscape.asc""","""0""","32","3","21","0.48977216998362544","0.49254563846582905","0.30346861794151847","0.18718625031906747","0.0018907702052431059","0","0","0","0"
"1","""none""","0.65","0","""1 kernel, 1 mean""","0.999","0","0","21","0","12","0","0","0","116","9","0","0","0.39","0","false","4","0","0","0","0","0","0.18","0","100","""import raster""","""density""","0","true","0","0","0","""0""","""[5.3]""",""" ""","""0""","0.5","0.7","0","1","0.999","0","0","""[95]""","0","100","0","0","3.2","33","""Carnarvon/Baited_core.shp""","""4-weeks""","0","0","0.92","""Carnarvon/carn_landscape.asc""","""0""","33","3","25","0.4545743644155863","0.4575663896688316","0.2996870775310323","0.15598854193255624","0.0018907702052431059","0","0","0","0"
